Entity_Code;Entity_Name;NATCODE;Anomaly_Type;Admin_Status;Comarca_Code;Comarca_Name;Prov_Code;Prov_Name;CCAA_Code;CCAA_Name
53000;Parzonería general de Guipuzkoa y Araba/Álava;34162053000;Shared_Land;Shared_Land;2005.0;GOIERRI;20;Gipuzkoa;16;País Vasco/Euskadi
53001;Comunidad de la Sierra Brava de Badaya;34160153001;Shared_Land;Shared_Land;103.0;VALLES ALAVESES;01;Araba/Álava;16;País Vasco/Euskadi
53002;Parzoneria de Entzia;34160153002;Shared_Land;Shared_Land;104.0;LLANADA ALAVESA;01;Araba/Álava;16;País Vasco/Euskadi
53003;Dehesa de Santiago;34080253003;Shared_Land;Shared_Land;203.0;SIERRA ALCARAZ;02;Albacete;08;Castilla-La Mancha
53004;Comunidad de Arauzo de Miel y Huerta del Rey;34070953004;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53005;Comunidad de Los Ausines y Revilla del Campo;34070953005;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53006;Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.);34070953006;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53007;Comunidad de 09076, 09290, 09578, 09606 y 09822;34070953007;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53008;Comunidad de 09076, 09290, 09578 y 09822;34070953008;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53009;Cabeza Alta;34070953009;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53010;Comunidad de 09076, 09150 y 09578;34070953010;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53011;Comunidad de 09076, 09498 y 09578;34070953011;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53012;Comunidad de 09076, 09578, 09606 y 09822;34070953012;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53013;Comunidad de Barbadillo del Pez y Jaramillo de la Fuente;34070953013;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53014;Comunidad de Barbadillo del Pez y Riocavado de la Sierra;34070953014;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53015;Comunidad de Bascuñana y Viloria de Rioja;34070953015;Shared_Land;Shared_Land;902.0;BUREBA-EBRO;09;Burgos;07;Castilla y León
53016;Monte Revenga;34070953016;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53017;Comunidad de Canicosa de la Sierra y Vilviestre del Pinar;34070953017;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53018;Comunidad de Canicosa de la Sierra y Casarejos;34070953018;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53019;Soncarazo;34070953019;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53020;Comunidad de Fuente Carazo;34070953020;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53021;Ledanía de 09162, 09290, 09412 y 09606;34070953021;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53022;Dehesa de San Felices;34070953022;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53023;Comunidad de Cilleruelo de Arriba y Pineda Trasmonte;34070953023;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53024;Comunidad de Covarrubias, Quintanilla del Coco y Retuerta;34070953024;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53025;Comunidad de Cubillo del Campo y Hontoria de la Cantera;34070953025;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53026;Comunidad de Gete y Hacinas;34070953026;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53027;Ledanía de Hacinas y Salas de los Infantes;34070953027;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53028;Ledanía de Hacinas, Salas de los Infantes y Villanueva de Carazo;34070953028;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53029;Comunidad de 09314, 09374, 09356 y 09126;34070953029;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53031;Valle de las Venadas;34070953031;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53032;Comunidad de Palacios de la Sierra, Vilviestre del Pinar y San Leonardo de Yagüe;34070953032;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53033;Comunidad de Quintanaortuño y Merindad de Río Ubierna;34070953033;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53034;Comunidad de Quintanar de la Sierra y Vilviestre del Pinar;34070953034;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53035;Comunidad de Revilla del Campo y Torrelara;34070953035;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53036;Ledanía de Castrillo de la Reina, Hacinas y Salas de los Infantes;34070953036;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53037;Comunidad de la Aynosa;34070953037;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53038;Comunidad de Villagalijo y San Vicente del Valle;34070953038;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53039;Comunidad de Tardajos y Las Quintanillas;34070953039;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53040;Comunidad de Tardajos y Rabé de las Calzadas;34070953040;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53041;Comunidad de Tinieblas de la Sierra y San Millán de Lara;34070953041;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53042;Comunidad de Vilviestre del Pinar y Palacios de la Sierra;34070953042;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53043;Comunidad de Villoruebo y Torrelara;34070953043;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53044;Comunidad de Vizcaínos y Jaramillo de la Fuente;34070953044;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53045;Comunidad de Quintanilla del Agua y Tordueles y Puentedura;34070953045;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53046;Comunidad de Merindad de Río Ubierna, Quintanilla Vivar y Sotragero;34070953046;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53047;Aldovera;34081953047;Shared_Land;Shared_Land;1901.0;CAMPIÑA;19;Guadalajara;08;Castilla-La Mancha
53048;Mancomunidad de Amezketa y Ordizia;34162053048;Shared_Land;Shared_Land;2006.0;TOLOSA;20;Gipuzkoa;16;País Vasco/Euskadi
53049;Comunero de Ansó y Hecho;34022253049;Shared_Land;Shared_Land;2201.0;JACETANIA;22;Huesca;02;Aragón
53050;Cuarto del Madroño;34012353050;Shared_Land;Shared_Land;2303.0;SIERRA DE SEGURA;23;Jaén;01;Andalucía
53051;Comunidad de Castrotierra de la Valduerna;34072453051;Shared_Land;Shared_Land;2407.0;LA BAÑEZA;24;León;07;Castilla y León
53052;Foncabada;34072453052;Shared_Land;Shared_Land;2410.0;SAHAGUN;24;León;07;Castilla y León
53053;Comunidad de Soto de la Vega y Villazala;34072453053;Shared_Land;Shared_Land;2407.0;LA BAÑEZA;24;León;07;Castilla y León
53054;Mancomunidad de Villagatón y Quintana del Castillo;34072453054;Shared_Land;Shared_Land;2405.0;ASTORGA;24;León;07;Castilla y León
53055;Comunidad de El Pont de Bar y Cava;34092553055;Shared_Land;Shared_Land;2504.0;ALT URGELL;25;Lleida;09;Cataluña/Catalunya
53056;Mancomunidad de Nalda, Sorzano y Viguera;34172653056;Shared_Land;Shared_Land;2604.0;SIERRA RIOJA MEDIA;26;La Rioja;17;La Rioja
53057;Los Baldios;34132853057;Shared_Land;Shared_Land;2802.0;GUADARRAMA;28;Madrid;13;Comunidad de Madrid
53058;El Redegüelo;34132853058;Shared_Land;Shared_Land;2802.0;GUADARRAMA;28;Madrid;13;Comunidad de Madrid
53059;Facero de Uzamalarre;34153153059;Shared_Land;Shared_Land;3101.0;NORD OCCIDENTAL;31;Navarra;15;Comunidad Foral de Navarra
53060;Facería de Arambelza;34153153060;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53061;Mancomunidad de Beunza y Juarbe;34153153061;Shared_Land;Shared_Land;3101.0;NORD OCCIDENTAL;31;Navarra;15;Comunidad Foral de Navarra
53062;Comunidad de Barbarín y Olejúa;34153153062;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53063;Monte Comunal de las Limitaciones de las Améscoas;34153153063;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53064;Facería de Ezcabarte y otros;34153153064;Shared_Land;Shared_Land;3103.0;CUENCA PAMPLONA;31;Navarra;15;Comunidad Foral de Navarra
53065;Facería de Aldape;34153153065;Shared_Land;Shared_Land;3101.0;NORD OCCIDENTAL;31;Navarra;15;Comunidad Foral de Navarra
53066;Facería de Montejurra;34153153066;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53067;Comunidad del Valle de Salazar;34153153067;Shared_Land;Shared_Land;3102.0;PIRINEOS;31;Navarra;15;Comunidad Foral de Navarra
53068;Facero de Aristregui;34153153068;Shared_Land;Shared_Land;3103.0;CUENCA PAMPLONA;31;Navarra;15;Comunidad Foral de Navarra
53069;Facero de Ujué y Lerga;34153153069;Shared_Land;Shared_Land;3105.0;NAVARRA MEDIA;31;Navarra;15;Comunidad Foral de Navarra
53070;Facería de Ayarza;34153153070;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53071;Coto Mancomunado;34073753071;Shared_Land;Shared_Land;3703.0;SALAMANCA;37;Salamanca;07;Castilla y León
53072;Comunidad de Campoo y Cabuérniga;34063953072;Shared_Land;Shared_Land;3903.0;TUDANCA-CABUERNIGA;39;Cantabria;06;Cantabria
53073;Monte de la Mata;34070953073;Shared_Land;Shared_Land;4002.0;SEPULVEDA;09;Burgos;07;Castilla y León
53074;Comunidad de Sepúlveda y Riaza;34074053074;Shared_Land;Shared_Land;4002.0;SEPULVEDA;40;Segovia;07;Castilla y León
53075;San Bartolomé;34074253075;Shared_Land;Shared_Land;4203.0;BURGO DE OSMA;42;Soria;07;Castilla y León
53076;Comunidad de la Pardina del Mercadal;34024453076;Shared_Land;Shared_Land;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
53077;El Franco;34024453077;Shared_Land;Shared_Land;4402.0;SERRANIA DE MONTALBAN;44;Teruel;02;Aragón
53078;Bardenas Reales;34153153078;Shared_Land;Shared_Land;3107.0;RIBERA BAJA;31;Navarra;15;Comunidad Foral de Navarra
53080;Sierra de Aralar;34153153080;Shared_Land;Shared_Land;3101.0;NORD OCCIDENTAL;31;Navarra;15;Comunidad Foral de Navarra
53081;Sierra de Lokiz;34153153081;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
53083;Facería de Cogullo Alto, Cogullo Bajo, Sarmindieta y Chandivar;34153153083;Shared_Land;Shared_Land;3104.0;TIERRA ESTELLA;31;Navarra;15;Comunidad Foral de Navarra
54001;Isla del Perejil;34205454001;Special_Territory;Plaza_Soberania;4613.0;;52;Melilla;19;Ciudad Autónoma de Melilla
54002;Peñón de Vélez de la Gomera;34205454002;Special_Territory;Plaza_Soberania;;;52;Melilla;19;Ciudad Autónoma de Melilla
54003;Islas Chafarinas;34205454003;Special_Territory;Plaza_Soberania;4613.0;;52;Melilla;19;Ciudad Autónoma de Melilla
54004;Islas Alhucemas;34205454004;Special_Territory;Plaza_Soberania;4613.0;;52;Melilla;19;Ciudad Autónoma de Melilla
54005;Peñón de Alhucemas;34205454005;Special_Territory;Plaza_Soberania;4613.0;;52;Melilla;19;Ciudad Autónoma de Melilla
54006;Gibraltar;34205454006;Special_Territory;Territorio_Extranjero;1105.0;CAMPO DE GIBRALTAR;;;;
54007;Isla de los Faisanes;34205454007;Special_Territory;Condominio_Hispano-Frances;2001.0;BAJO BIDASOA;20;Gipuzkoa;16;País Vasco/Euskadi
